ciudad,latitud,longitud
CUMARAL,4.271743627251283, -73.49878893392383
SAN JOSE DEL GUAVIARE,2.5684062414260214, -72.6405029546509
MONTENEGRO,4.565287171719889, -75.75090222015272
EL BANCO,9.003930901942592, -73.97395009982617
ZARZAL,4.394982166869073, -76.07229589054562
MELGAR,4.245792953016626, -74.68793807659733
COGUA,5.061247807794973, -73.97661619166558
CASTILLA LA NUEVA,3.82787682505198, -73.68977826747081
URIBE,3.2394980928983554, -74.35006019079628
SABANETA,6.151070184510905, -75.61553276034395
VALLEDUPAR,10.471705669366825, -73.24523304182227
SINCELEJO,9.347447760163343, -75.44749486640424
PUERTO TEJADA,3.2204189596545683, -76.4151218987948
LA ESTRELLA,6.151208540337099, -75.63828114519998
BARBOSA (ANT),6.438278965883877, -75.33066604312516
SUAREZ (CAU),2.952670052810482, -76.69324231447794
LA DORADA,5.473221070431772, -74.6710747372841
EL ROSARIO,3.26074, -76.53499
VILLA DE LEYVA,5.636259494999569, -73.53603371245592
YONDO,6.903152527090629, -74.15738850739967
PUERTO GAITAN,4.312506217756788, -72.08250067196677
LA TEBAIDA,4.453515728843681, -75.78898785454919
PALMIRA,3.5378382741274885, -76.29937454650424
IPIALES,0.8297833581450177, -77.64164620948031
LA ARGENTINA,2.1965775349956376, -75.98019518800976
ENVIGADO,6.167334865231877, -75.58364699524306
ITAGUI,6.168744517001981, -75.61833415565559
SOLEDAD,10.916327439991905, -74.79302144556438
CANTAGALLO,7.381700053498702, -73.91946432794818
ARMENIA (QUI),4.573370215080864, -75.6139114346654
PALERMO,2.8862893772665634, -75.43346202094335
PUERTO BOYACA,5.975999510663489, -74.59202476290396
HONDA,5.207929547370698, -74.7369367179344
VILLA GARZON,1.0285498964248463, -76.61700185224348
PAMPLONA,7.373341587906442, -72.64696183362516
PUENTE NACIONAL,5.87929290088288, -73.67849286221902
CAJAMARCA,4.442014013605792, -75.42698145754328
MANIZALES,5.062880043218247, -75.49737944731747
QUIBDO,5.695974363492973, -76.64992802771154
GIRARDOTA,6.377875316876556, -75.44676088017731
